frame_number,position_x,position_y,position_z,orientation_w,orientation_x,orientation_y,orientation_z
1.000000000000000000e+00,-1.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,-9.993000000000000327e+00,-9.993000000000000327e+00,3.000000000000000062e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-03,0.000000000000000000e+00
3.000000000000000000e+00,-9.986000000000000654e+00,-9.986000000000000654e+00,7.000000000000000146e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-03,0.000000000000000000e+00
4.000000000000000000e+00,-9.978999999999999204e+00,-9.978999999999999204e+00,1.000000000000000021e-02,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-03,0.000000000000000000e+00
5.000000000000000000e+00,-9.971999999999999531e+00,-9.971999999999999531e+00,1.400000000000000029e-02,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-03,0.000000000000000000e+00
6.000000000000000000e+00,-9.965999999999999304e+00,-9.965999999999999304e+00,1.700000000000000122e-02,1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000062e-03,0.000000000000000000e+00
7.000000000000000000e+00,-9.958999999999999631e+00,-9.958999999999999631e+00,2.100000000000000130e-02,1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000062e-03,0.000000000000000000e+00
8.000000000000000000e+00,-9.951999999999999957e+00,-9.951999999999999957e+00,2.400000000000000050e-02,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00
9.000000000000000000e+00,-9.945000000000000284e+00,-9.945000000000000284e+00,2.800000000000000058e-02,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00
1.000000000000000000e+01,-9.938000000000000611e+00,-9.938000000000000611e+00,3.099999999999999978e-02,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000104e-03,0.000000000000000000e+00
1.100000000000000000e+01,-9.930999999999999162e+00,-9.930999999999999162e+00,3.400000000000000244e-02,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000104e-03,0.000000000000000000e+00
1.200000000000000000e+01,-9.923999999999999488e+00,-9.923999999999999488e+00,3.799999999999999906e-02,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000125e-03,0.000000000000000000e+00
1.300000000000000000e+01,-9.916999999999999815e+00,-9.916999999999999815e+00,4.100000000000000172e-02,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000125e-03,0.000000000000000000e+00
1.400000000000000000e+01,-9.910000000000000142e+00,-9.910000000000000142e+00,4.499999999999999833e-02,1.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000146e-03,0.000000000000000000e+00
1.500000000000000000e+01,-9.903999999999999915e+00,-9.903999999999999915e+00,4.800000000000000100e-02,1.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000167e-03,0.000000000000000000e+00
1.600000000000000000e+01,-9.897000000000000242e+00,-9.897000000000000242e+00,5.199999999999999761e-02,1.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000167e-03,0.000000000000000000e+00
1.700000000000000000e+01,-9.890000000000000568e+00,-9.890000000000000568e+00,5.500000000000000028e-02,1.000000000000000000e+00,0.000000000000000000e+00,8.999999999999999320e-03,0.000000000000000000e+00
1.800000000000000000e+01,-9.882999999999999119e+00,-9.882999999999999119e+00,5.899999999999999689e-02,1.000000000000000000e+00,0.000000000000000000e+00,8.999999999999999320e-03,0.000000000000000000e+00
1.900000000000000000e+01,-9.875999999999999446e+00,-9.875999999999999446e+00,6.199999999999999956e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00
2.000000000000000000e+01,-9.868999999999999773e+00,-9.868999999999999773e+00,6.500000000000000222e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00
2.100000000000000000e+01,-9.862000000000000099e+00,-9.862000000000000099e+00,6.900000000000000577e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.099999999999999936e-02,0.000000000000000000e+00
2.200000000000000000e+01,-9.855000000000000426e+00,-9.855000000000000426e+00,7.199999999999999456e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.099999999999999936e-02,0.000000000000000000e+00
2.300000000000000000e+01,-9.848000000000000753e+00,-9.848000000000000753e+00,7.599999999999999811e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000025e-02,0.000000000000000000e+00
2.400000000000000000e+01,-9.840999999999999304e+00,-9.840999999999999304e+00,7.900000000000000078e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000025e-02,0.000000000000000000e+00
2.500000000000000000e+01,-9.835000000000000853e+00,-9.835000000000000853e+00,8.300000000000000433e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.299999999999999940e-02,0.000000000000000000e+00
2.600000000000000000e+01,-9.827999999999999403e+00,-9.827999999999999403e+00,8.599999999999999312e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000029e-02,0.000000000000000000e+00
2.700000000000000000e+01,-9.820999999999999730e+00,-9.820999999999999730e+00,8.999999999999999667e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000029e-02,0.000000000000000000e+00
2.800000000000000000e+01,-9.814000000000000057e+00,-9.814000000000000057e+00,9.299999999999999933e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.499999999999999944e-02,0.000000000000000000e+00
2.900000000000000000e+01,-9.807000000000000384e+00,-9.807000000000000384e+00,9.600000000000000200e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.499999999999999944e-02,0.000000000000000000e+00
3.000000000000000000e+01,-9.800000000000000711e+00,-9.800000000000000711e+00,1.000000000000000056e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000033e-02,0.000000000000000000e+00
3.100000000000000000e+01,-9.792999999999999261e+00,-9.792999999999999261e+00,1.029999999999999943e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000033e-02,0.000000000000000000e+00
3.200000000000000000e+01,-9.785999999999999588e+00,-9.785999999999999588e+00,1.069999999999999979e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.700000000000000122e-02,0.000000000000000000e+00
3.300000000000000000e+01,-9.778999999999999915e+00,-9.778999999999999915e+00,1.100000000000000006e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.700000000000000122e-02,0.000000000000000000e+00
3.400000000000000000e+01,-9.772999999999999687e+00,-9.772999999999999687e+00,1.140000000000000041e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.799999999999999864e-02,0.000000000000000000e+00
3.500000000000000000e+01,-9.766000000000000014e+00,-9.766000000000000014e+00,1.170000000000000068e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.799999999999999864e-02,0.000000000000000000e+00
3.600000000000000000e+01,-9.759000000000000341e+00,-9.759000000000000341e+00,1.209999999999999964e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.899999999999999953e-02,0.000000000000000000e+00
3.700000000000000000e+01,-9.752000000000000668e+00,-9.752000000000000668e+00,1.239999999999999991e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.899999999999999953e-02,0.000000000000000000e+00
3.800000000000000000e+01,-9.744999999999999218e+00,-9.744999999999999218e+00,1.270000000000000018e-01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-02,0.000000000000000000e+00
3.900000000000000000e+01,-9.737999999999999545e+00,-9.737999999999999545e+00,1.310000000000000053e-01,1.000000000000000000e+00,0.000000000000000000e+00,2.100000000000000130e-02,0.000000000000000000e+00
